,bed_availability,budget_range,location,ownership,name,services,specialty,address
Scheduled,90,391439,Royapuram,Private,M.V.HOSPITAL,OPD,Pediatrics,"57, MAIN ROAD, ROYAPURAM, CHENNAI 600013"
Immediate,68,277072,Royapuram,Private,SUBHA NURSING HOME,Daycare,Pediatrics,"38, M.S.KOIL STREET, ROYAPURAM, CHENNAI
600013"
Immediate,165,202657,Royapuram,Private,SUGANTHA HOSPITAL,Home Nursing,General,"NO.51, RAMANUJAM STREET OLD WASHERMENPET
CHENNAI 600021"
Scheduled,76,40532,Royapuram,Government,RATHINAM NURSING HOME,Laboratory,Pediatrics,"1, KALIYANGARAYAN 3RD LANE, CHENNAI   600021"
Immediate,72,192450,Royapuram,Private,RATHINA CLINIC,Laboratory,ENT,"15, THOPPAI STREET ROYAPURAM CHENNAI 600013"
Unavailable,51,477819,Royapuram,Private,"S.N.N.MEDICAL CENTRE,",Home Nursing,Pediatrics,"3, MANIKANDA MUDALI 9TH STREET, CHENNAI
600021"
Scheduled,183,321037,Royapuram,Private,SHYAMALA NURSING HOME,Emergency,General,"32, CEMENTRY ROAD, CHENNAI   600021"
Immediate,49,213353,Royapuram,Private,ROYAPURAM CWC,Daycare,General,"1, VENKATESAN STREET, FIRST LANE, ROYAPURAM,
CHENNAI 600013"
Unavailable,66,418761,Royapuram,Private,MANOGIRI AND RAJA VENKATAGIRI CHARITIES,Laboratory,General,"4, MONAGIAR CHOULTRY ROAD, CHENNAI   600021"
Immediate,73,461310,Royapuram,Private,RSRM HOSPITAL,OPD,Psychiatry,"70, CEMENTRY ROAD, CHENNAI   600013"
Unavailable,180,35699,Royapuram,Government,SUDHA HOSPITAL,Inpatient,Neurology,"191, ADAM SAHIB STREET ROYAPURAM CHENNAI
600013"
Unavailable,100,310015,Royapuram,Private,R.K. NAGAR C.W.C,Daycare,Gynaecology,"60, BASIN BRIDGE ROAD, OLD WASHERMENPET,
CHENNAI 600021"
Immediate,25,382254,Royapuram,Private,S.S.S. NURSING HOME,Home Nursing,Gastro-intestinal,"NO.2/6, CITAMBARAM NAGAR IIND STREET
MULAKUTHALLAM CHENNAI 600021"
Scheduled,44,155550,Royapuram,Private,SUHAIL NURSING HOME,Daycare,Neurology,"24,DR.VIJAYARAGAVALU ROAD OLD
WASHERMENPET CH21 600021"
Immediate,116,21632,Royapuram,Government,DR.G.T.JOSHUA HOSPSITAL,Emergency,ENT,"417/427, T.H.ROAD, OLDWASHERMANPET, CHENNAI
600021"
Immediate,91,58992,Royapuram,Private,KAMAL NURSING HOME,Daycare,Neurology,"1, A.G.H.ROAD, CHENNAI   600002"
Unavailable,97,387802,Royapuram,Private,KONDITHOPE CWC,OPD,Orthopedics,"60, BASIN BRIDGE ROAD, CHENNAI   600021"
Scheduled,159,392806,Royapuram,Private,P.K.GARDEN CWC,Daycare,General,"44, WALLTAX ROAD, CHENNAI   600079"
Scheduled,198,56125,Royapuram,Private,APOLLO HOSPITAL,Laboratory,Orthopedics,"SOWCARPET, . CHENNAI 600079"
Scheduled,105,86884,Royapuram,Private,GOVT.STANLEY MEDICAL COLLEGE HOSPITAL,Laboratory,Gynaecology,"OLD JAIL STREET, CHENNAI   600001"
Scheduled,91,30410,Royapuram,Government,S M HOSPITAL,OPD,Psychiatry,"67, NEW STREET, CHENNAI   600001"
Scheduled,82,350582,Royapuram,Private,TARA MATERNITY AND SURGICAL CLINIC,Daycare,Psychiatry,"79, LINGI CHETTY STREET, CHENNAI   600001"
Unavailable,124,300409,Royapuram,Private,B R N GARDEN CWC,Daycare,Cardiology,"225,BROADWAY ROAD, CHENNAI   600108"
Scheduled,106,277115,Royapuram,Private,SANTHOSH HOSPITAL,Emergency,Gastro-intestinal,"45, BROADWAY ROAD, CHENNAI   600001"
Scheduled,43,480257,Royapuram,Private,"HARBOUR CWC 4TH LANE,",Home Nursing,General,"BEACH, CHENNAI   600001"
Immediate,88,342874,Royapuram,Private,THAI POLY CLINIC NURSING HOME,Home Nursing,Neurology,"77, SENGAZHUNIR PILLAIYAR KOIL STREET,
CHENNAI   600001"
Immediate,112,154573,Royapuram,Private,SAKTHI NURSING HOME,Laboratory,Gastro-intestinal,"81, CORAL MERCHANT STREET, CHENNAI   600001"
Scheduled,76,363365,Royapuram,Private,RAMDEV NURSING HOME,Emergency,ENT,"MANAGAPPAN STREET SOWKAR PET CHENNAI
600079"
Unavailable,24,402994,Royapuram,Private,T.B. CENTRE,Emergency,General,MADRAS . . 600079
Unavailable,161,259073,Royapuram,Private,GOKUL DASS HOSPITAL,Daycare,Pediatrics,"123, RASAPPA STREET, CHENNAI   600003"
Scheduled,32,322224,Royapuram,Private,G.K. HOSPITAL,OPD,General,"NO.474, MINT STREET SOWCARPET CHENNAI 600079"
Immediate,178,152120,Royapuram,Private,AMRIT HOSPITAL,Laboratory,Neurology,"310, MINT STREET, SOWCARPET, CHENNAI   600079"
Immediate,71,251483,Royapuram,Private,A V M HOSPITAL,Home Nursing,ENT,"158,GOVINDAPPA NAICKEN STREET. CHENNAI
600001"
Immediate,81,314367,Royapuram,Private,THE ARYA VYSYA MAT.HOME AND CWC,OPD,Gastro-intestinal,"""SOWBHAGYA SANTHANA SADHANAM NEW NO.174, GOVINDAPPA NAICK.STREET, CHENNAI 600001"
Immediate,124,183105,Royapuram,Private,DEVARAJ MANICKCHAND HOSPITAL,Emergency,General,"10, VINAYAGA MUDALI STREET, CHENNAI   600079"
Unavailable,92,304551,Royapuram,Private,RITHERDON NURSING HOME,Home Nursing,Psychiatry,RITHERDON ROAD CHENNAI    600007
Unavailable,176,187528,Royapuram,Private,G K M HOSPITAL PRIVATE LTD,Home Nursing,Orthopedics,"120/113,PERAMBUR BARRACKS ROAD
PURASAWALKAM CHENNAI 600007"
Scheduled,106,161336,Royapuram,Private,PERUMALPET  C.W.C.,Home Nursing,Gastro-intestinal,"NO.30 KARIYAPPA MUDALI STREET PERUMAL PET
CHENNAI 600007"
Scheduled,188,299414,Royapuram,Private,PRASAD CLINIC,Daycare,Pediatrics,284 PURASAWAKKAM HIGH ROAD CHENNAI    600007
Scheduled,65,27025,Royapuram,Government,BATOOLA HOSPITAL,Laboratory,General,21 CHAMEARS ROAD  VEPERY CHENNAI  600007
Immediate,175,378524,Royapuram,Private,SHALOM MEDICAL CENTRE,Daycare,Orthopedics,"OLD NO-21,N.NO-45 RTHERDON ROAD,VEPERY,
CHENNAI 600007"
Unavailable,126,13765,Royapuram,Government,U MOHAN RAO MEMORIAL HOSPITAL,Laboratory,General,"962 POONAMALLEE HIGH ROAD PURASAIWALKAM
CHENNAI  600084"
Unavailable,172,220359,Royapuram,Private,DR SUNDARAVATHANAM NURSING HOME,Laboratory,Cardiology,"950 POONAMALLEE HIGH ROAD PURASAIWALKAM
CHENNAI  600084"
Scheduled,87,93530,Royapuram,Private,ORIENT MEDICAL CENTRE,Inpatient,General,"NO.67/73 SYDENHAMS ROAD, PERIAMET, CHENNAI
600003"
Immediate,39,300947,Royapuram,Private,PERIYAR URBAN HEALTH CENTRE,Laboratory,Gynaecology,PERIYAR THIDAL  VEPERY CHENNAI  600007
Scheduled,166,125600,Royapuram,Private,CHOOLAI TWENTYFOUR HRS HOSPITAL,OPD,Gastro-intestinal,"N.NO.32, O.NO.69/3, HUNTERS ROAD, CHOOLAI,
CHENNAI 600112"
Immediate,29,174234,Royapuram,Private,M.B.CLINIC,OPD,Gastro-intestinal,"85,E.V.K.S.SALAI, VEPERY, CHENNAI 600007"
Immediate,97,15572,Royapuram,Government,LAKSHMI SUNDARAVADANAM HOSPITAL,Home Nursing,Cardiology,"134, POONAMALLEE HIGH ROAD,   CHENNAI 600084"
Unavailable,80,334916,Royapuram,Private,SHALOM MEDICAL CENTRE,Laboratory,ENT,"OLD NO-21,NEW NO-45, RITHERDON ROAD, VEPERY,
CHENNAI 600007"
Unavailable,112,112465,Royapuram,Private,MYSAAN HOSPITAL,Inpatient,Cardiology,NO.10 THYAR SOHIB STREET CHENNAI   600014
Unavailable,86,322017,Royapuram,Private,"TAMILNADU GOVERNMENT MULTI SUPER
SPECIALITY HOSPITAL",Daycare,Pediatrics,"OMANDURAR, GOVERNMENT ESTATE, CHENNAI
600002"
Unavailable,110,342491,Royapuram,Private,"RAJIV GANDHI GOVERNMENT GENERAL
HOSPITAL",Daycare,Pediatrics,E.V.R. ROAD CHENNAI   600003
Scheduled,115,223448,Royapuram,Private,APOLLO CITY CENTRE,Daycare,ENT,"134/A, MINT STREET SOWCARPET CHENNAI 600079"
Immediate,52,88169,Royapuram,Private,GOVERNMENT GENERAL HOSPITAL,OPD,Neurology,"E.V.R.ROAD, CHENNAI   600003"
Immediate,147,287430,Royapuram,Private,P.T.B.G.S.HOSPITAL,Laboratory,Neurology,"3, RAVANAIAR STREET, . CHENNAI 600003"
Immediate,113,370027,Royapuram,Private,MADRAS PORT TRUST HOSPITAL,Daycare,Psychiatry,"SPRING HEETON ROAD, CHENNAI   600001"
Scheduled,81,138892,Royapuram,Private,DEVI CLINIC,Inpatient,Orthopedics,"19, AYYAPPAN STREET,  MANNADY, CHENNAI 600001"
Immediate,39,284993,Royapuram,Private,N M PADDY CLINIC AND NURSING HOME,Home Nursing,Orthopedics,"16, AUDIAPPAN NAICKEN STREET, CHENNAI   600001"
Immediate,139,435498,Royapuram,Private,NATIONAL HOSPITAL,OPD,Psychiatry,"12, JAFFER SERANG STREET, CHENNAI   600001"
Scheduled,129,297944,Royapuram,Private,AYYAVU MATERNITY HOSPITAL,Emergency,Gynaecology,"158, CORAL MERCHANT STREET, CHENNAI   600001"
Immediate,76,489592,Royapuram,Private,MEERAN HOSPITAL,Home Nursing,Cardiology,"26, VELAYUTHA MUDALI STREET, CHENNAI   600001"
Scheduled,192,182140,Royapuram,Private,CHILD WELFARE CENTRE,Laboratory,General,PUSHPA NAGAR NUNGAMBAKKAM CHENNAI  600034
Unavailable,169,36306,Royapuram,Government,V S HOSPITAL,OPD,Psychiatry,"13,EAST SPURTANK ROAD CHETPET CHENNAI
600031"
Immediate,92,225245,Royapuram,Private,GOVT OPTHALMIC HOSPITAL,Home Nursing,Psychiatry,MARSHAL ROAD EGMORE CHENNAI 600008
Scheduled,106,424258,Royapuram,Private,DR.SANTHOSHAM CHEST HOSPITAL,OPD,ENT,"NO.70 EGMORE HIGH ROAD EGMORE CHENNAI
600018"
Immediate,140,207140,Royapuram,Private,MERCURY NURSING HOME,Emergency,Neurology,36 PANTHEON ROAD EGMORE CHENNAI  600008
Immediate,105,211413,Royapuram,Private,MERCURY HOSPITAL PRIVATE LIMITED,Home Nursing,Cardiology,"NO.36, PANTHEON ROAD,  EGMORE, CHENNAI
600008"
Scheduled,102,487839,Royapuram,Private,INSTITUTE OF CHILD HEALTH,Emergency,ENT,"18, 19 HALLS ROAD CHENNAI    600008"
Scheduled,70,21629,Royapuram,Government,LIFE CARE HOSPITAL,Emergency,Gastro-intestinal,"NO.29/77, ADHITHANAR SALAI, HARRIS ROAD,
PUDUPET, CHENNAI 600002"
Unavailable,88,156610,Royapuram,Private,PUDUPAKKAM C W C,Inpatient,Gastro-intestinal,51 SELLAPILLAI KOIL STREET CHENNAI    600014
Immediate,152,170143,Royapuram,Private,CHILD WELFARE CENTRE,Laboratory,Gynaecology,"LONG'S GARDEN,  PUDUPET, CHENNAI 600002"
Unavailable,64,12306,Royapuram,Government,CHOOLAI CWC,Emergency,Neurology,"23, V.V.KOIL STREET, CHOOLAI, CHENNAI 600112"
Unavailable,183,197009,Royapuram,Private,NEW TAS POLYCLINIC,Inpatient,Neurology,NO 79 CHOOLAI HIGH ROAD CHENNAI . 600112
Scheduled,95,251606,Royapuram,Private,MANGALAPURAM HEALTH CENTRE,Daycare,Gynaecology,MANGALAPURAM CHETPUT CHENNAI  600031
Unavailable,165,494565,Royapuram,Private,WOMEN AND CHILDREN HOSPITAL,Daycare,General,"PANTHEON ROAD, EGMORE, CHENNAI 600008"
Scheduled,184,269099,Thiru-Vi-Ka Nagar,Private,ESWAR MEDICAL FOUNDATION,Emergency,Psychiatry,"NO.1, REDHILLS ROAD, BHARATHY NAGAR CHENNAI
600099"
Unavailable,121,385573,Thiru-Vi-Ka Nagar,Private,KTS NURSING HOME,OPD,Gynaecology,"7/10, BHARATHI NAGAR BALAJI NAGAR, KOLATHUR
CHENNAI 600099"
Immediate,173,101930,Thiru-Vi-Ka Nagar,Private,U.S.HOSPITAL,Inpatient,Orthopedics,"PL.NO.7, BALAKUMARAN NAGAR, PART C,
KOLATHUR, CHENNAI 600099"
Scheduled,200,296119,Thiru-Vi-Ka Nagar,Private,ARAVIND CLINIC,Inpatient,Orthopedics,"6, IST LANE, MURUGAN NAGAR, KOLATHUR,
CHENNAI 600099"
Scheduled,156,358648,Thiru-Vi-Ka Nagar,Private,NIRMAL POLY CLINIC AND NURSING HOME,Home Nursing,Pediatrics,"2,NETHAJI NAGAR, IST STREET, CHENNAI 600049"
Immediate,46,110744,Thiru-Vi-Ka Nagar,Private,ST.JOSEPH OF CLUNY HOSPITAL,Daycare,General,"5, PAPER MILLS ROAD, PERAVALLUR, CHENNAI
600082"
Unavailable,29,212738,Thiru-Vi-Ka Nagar,Private,"GOVT.PERIPERAL HOSPITAL,",Laboratory,General,"PERIYAR NAGAR, CHENNAI   600082"
Immediate,64,234542,Thiru-Vi-Ka Nagar,Private,RAJU NURSING HOME,Emergency,Orthopedics,"7/1, LAKSHMANA NAGAR, PAPER MILLS ROAD,
CHENNAI 600012"
Immediate,184,87071,Thiru-Vi-Ka Nagar,Private,N.R.HOSPITAL,OPD,Orthopedics,"JAWAR NAGAR MAIN ROAD, CHENNAI   600082"
Scheduled,149,496619,Thiru-Vi-Ka Nagar,Private,SHEEBA NURSING HOME,OPD,Pediatrics,"13, TOLCATE, R.D.JAWAR NAGAR, CHENNAI 600082"
Unavailable,72,210154,Thiru-Vi-Ka Nagar,Private,MEENAKSHI HOSPITAL,Daycare,Gynaecology,"7/34, 3RD STREET, RAM NAGAR, CHENNAI 600082"
Immediate,48,171656,Thiru-Vi-Ka Nagar,Private,SHEPHERD NURSING HOME,Laboratory,Psychiatry,"19, KUMARAN NAGAR MAIN ROAD, PERAVALLUR,
CHENNAI 600082"
Immediate,44,28159,Thiru-Vi-Ka Nagar,Government,J.S. HOSPITAL,OPD,Gastro-intestinal,"77 RAMAMOORTHY COLONY T.V.K. NAGAR CHENNAI
600082"
Scheduled,35,133519,Thiru-Vi-Ka Nagar,Private,SRI BALA NURSING HOME,Home Nursing,Orthopedics,"46, S.R.P.KOIL STREET, T.V.K.NAGAR, CHENNAI
600082"
Immediate,70,381051,Thiru-Vi-Ka Nagar,Private,ESWARI NURSING HOME,Home Nursing,Gastro-intestinal,"255, 10TH STREET, S.R.P.COLONY, CHENNAI 600082"
Immediate,167,485816,Thiru-Vi-Ka Nagar,Private,AGARAM CWC,Laboratory,General,"9, SOMIAHRAJA STREET, AGARAM, CHENNAI 600082"
Immediate,190,45396,Thiru-Vi-Ka Nagar,Government,ABHIJAY HOSPITAL PVT.LTD.,OPD,Gastro-intestinal,"22/2, ESI HOSPITAL ROAD, PERAVALLORE, CHENNAI
600011"
Unavailable,73,328759,Thiru-Vi-Ka Nagar,Private,S.S.NURSING HOME,Home Nursing,Psychiatry,"I SRP KOIL STREET, T.V.K.NAGAR,  CHENNAI 600082"
Scheduled,183,14739,Thiru-Vi-Ka Nagar,Government,SEMBIUM CWC,Daycare,Gynaecology,"238, P.M.ROAD, CHENNAI   600011"
Immediate,193,413850,Thiru-Vi-Ka Nagar,Private,SOUL HOSPITAL,Daycare,ENT,"NO.19/2, S.R.P. KOIL STREET NORTH PERAVALLUR
CHENNAI 600011"
Scheduled,111,72446,Thiru-Vi-Ka Nagar,Private,SUBIKSHA NURSING HOME,Inpatient,Gastro-intestinal,"45, BUNDER GARDEN STREET, PERAMBUR,
CHENNAI 600011"
Immediate,126,309613,Thiru-Vi-Ka Nagar,Private,BHARANI NURSING HOME,Inpatient,Gynaecology,"62, FOXEN STREET, PERAMBUR, CHENNAI 600011"
Scheduled,175,437496,Thiru-Vi-Ka Nagar,Private,MEENA NURSING HOME,Emergency,Psychiatry,"P.M.ROAD, PERAMBUR, CHENNAI 600011"
Scheduled,119,83683,Thiru-Vi-Ka Nagar,Private,APPLE HOSPITAL,Inpatient,Neurology,"NO. 43/1&2, MADHAVARAM HIGH ROAD PERAMBUR
CHENNAI 600011"
Unavailable,114,227784,Thiru-Vi-Ka Nagar,Private,VASAN HEALTH CARE PVT LTD,Inpatient,Pediatrics,"149, PAPER MILLS ROAD PERAVALLUR CHENNAI
600082"
Scheduled,137,55203,Thiru-Vi-Ka Nagar,Private,ARUL HOSPITAL,Home Nursing,Gastro-intestinal,"58/25, VENUGOPALSAMY KOIL STREET PERAMBUR
CHENNAI 600011"
Unavailable,112,59743,Thiru-Vi-Ka Nagar,Private,SEN POLY CLUNIC AND NURSING HOME,Emergency,Pediatrics,"319, P.M.ROAD, PERAMBUR CHENNAI 600011"
Scheduled,142,445259,Thiru-Vi-Ka Nagar,Private,VELS HEALTH CARE,Laboratory,Psychiatry,"NO.63, RAGHAVAN STREET, PERAMBUR CHENNAI
600011"
Scheduled,36,405783,Thiru-Vi-Ka Nagar,Private,PRIYA NURSING HOME,Daycare,Gynaecology,"NO. 10/18, PADDY FIELD ROAD PERAMBUR, CHENNAI
600011"
Immediate,22,94955,Thiru-Vi-Ka Nagar,Private,SRINIVASAPRIYA HOSPITAL,OPD,Pediatrics,"89, PATEL ROAD,  PERAMBUR CHENNAI 600011"
Immediate,81,244593,Thiru-Vi-Ka Nagar,Private,PERAMBUR CWC,Daycare,Cardiology,"4, VADIVEL 2ND CROSS STREET, PERAMBUR,
CHENNAI 600011"
Scheduled,53,423247,Thiru-Vi-Ka Nagar,Private,SIMPSON GESETS HOSPITAL,Daycare,Gastro-intestinal,"NO.1 DESI COLONY 3 RD STREET PERAMBUR HIGH
ROAD CHENNAI 600012"
Scheduled,108,151131,Thiru-Vi-Ka Nagar,Private,NARAYANA NURSING HOME,Inpatient,Gynaecology,"7, BHARATHI ROAD, PERAMBUR, CHENNAI 600011"
Scheduled,101,389140,Thiru-Vi-Ka Nagar,Private,MEXICO HOSPITAL,OPD,Psychiatry,"17, PERAMBUR HIGH ROAD, CHENNAI   600012"
Scheduled,170,186783,Thiru-Vi-Ka Nagar,Private,JULIAN NURSING HOME,OPD,Neurology,"96, PERAMBUR HIGH ROAD, CHENNAI   600012"
Scheduled,121,476860,Thiru-Vi-Ka Nagar,Private,SRI RAM NURSING HOME,Home Nursing,Pediatrics,"7, PATEL ROAD, PERAMBUR, CHENNAI 600011"
Scheduled,105,324371,Thiru-Vi-Ka Nagar,Private,BEGUM SAFIA HOSPITAL,OPD,Psychiatry,"25, JAMALIYA NAGAR, CHENNAI   600012"
Immediate,31,214786,Thiru-Vi-Ka Nagar,Private,GOVERNMENT T T B HOSPITAL,Inpatient,Cardiology,"373, K.H.ROAD, OTTERY, CHENNAI 600012"
Immediate,148,380145,Thiru-Vi-Ka Nagar,Private,PULIANTHOPE CWC,Emergency,Gastro-intestinal,"40, THIRUVENGADASAMY STREET,  CHENNAI
600012"
Scheduled,174,321899,Thiru-Vi-Ka Nagar,Private,SHRI  VIGNESH HOSPITAL,Home Nursing,Pediatrics,"61, RAMASAMY STREET, PULIANTHOPE CHENNAI
600012"
Unavailable,178,264929,Thiru-Vi-Ka Nagar,Private,TESMAR HOSPITAL,OPD,General,"11 KUTTY THAMBIRAN STREET PULIANTHOPE
CHENNAI 600012"
Unavailable,151,353947,Thiru-Vi-Ka Nagar,Private,INSTITUTE OF MENTAL HEALTH,OPD,General,KILPAUK CHENNAI   600010
Immediate,112,145569,Thiru-Vi-Ka Nagar,Private,AMMINI CLINIC,OPD,General,"101, M.T.ROAD, CHENNAI   600010"
Immediate,75,311932,Thiru-Vi-Ka Nagar,Private,RANJITH HOSPITAL,Daycare,Gynaecology,"61, M.T.ROAD, CHENNAI   600010"
Immediate,132,398508,Thiru-Vi-Ka Nagar,Private,K.M.CLINIC AND NURSING HOME,Inpatient,Cardiology,KILPAUK CHENNAI   600010
Scheduled,183,199011,Thiru-Vi-Ka Nagar,Private,AMBAL CWC,Inpatient,ENT,"74, A.K.SWAMY NAGAR, KELLYS, CHENNAI 600010"
Scheduled,46,301734,Thiru-Vi-Ka Nagar,Private,ESI HOSPITAL,OPD,Orthopedics,"MEDAVAKKAM TANK ROAD AYANAVARAM CHENNAI
600023"
Immediate,87,208884,Thiru-Vi-Ka Nagar,Private,TRUST HOSPITAL,Emergency,ENT,"122, MEDAVAKKAM TANK ROAD, AYANAVARAM,
CHENNAI 600023"
Unavailable,60,113275,Thiru-Vi-Ka Nagar,Private,N.R. MEDICAL HOME,OPD,Psychiatry,NO.1 BINNY COLONY P B ROAD CHENNAI  600012
Scheduled,188,183616,Thiru-Vi-Ka Nagar,Private,CHILD WELFARE CENTRE,Emergency,Pediatrics,KOSAPET CHENNAI   600012
Scheduled,171,431645,Thiru-Vi-Ka Nagar,Private,SHRI HARI HOSPITAL,OPD,Gynaecology,"106, PULIANTHOPE HIGH ROAD,  CHENNAI   600012"
Unavailable,44,133454,Thiru-Vi-Ka Nagar,Private,NARAYANAA HOSPITAL,Home Nursing,Gynaecology,"18,TANA STREET PURASAWALKAM CHENNAI 600007"
Scheduled,99,359400,Thiru-Vi-Ka Nagar,Private,SRI LAKSHMI CLINIC,OPD,General,"TANA STREET, PURASAWALKAM, CHENNAI 600084"
Scheduled,196,226993,Ambattur,Private,ESSVEE HOSPITAL,Inpatient,Gastro-intestinal,"506, MTH ROAD, RAM NAGAR, CHENNAI   600053"
Immediate,133,311671,Ambattur,Private,MAHA CRITICAL SPECIALITY HOSPITAL,OPD,Gastro-intestinal,"37, MTH ROAD AMBATTUR, CHENNAI 600053"
Immediate,82,264612,Ambattur,Private,MAHALAKSHMI NURSING HOME,Home Nursing,Neurology,MTH ROAD RAM NAGAR  CHENNAI   600053
Scheduled,155,137123,Ambattur,Private,PADMAVATHY CLINIC,Home Nursing,General,"122 A , REDHILLS ROAD BHARATH NAGAR
AMBATTUR CHENNAI   600053"
Scheduled,75,421088,Ambattur,Private,SRI VAISHNAVI NURSING HOME,OPD,Gastro-intestinal,"THIRUVENKADA NAGAR IIND MAIN ROAD  CHENNAI
600053"
Unavailable,186,27756,Ambattur,Government,DR.RABINDRAN  CLINIC,OPD,General,"96/212, MTH  ROAD  VENKATAPURAM AMBATHUR
600053"
Scheduled,150,108424,Ambattur,Private,RAKKI NURSING HOME,Home Nursing,Gynaecology,"29/30,ORAGADAM ROAD VENKATAPURAM CHENNAI
600053"
Unavailable,65,151946,Ambattur,Private,OM SAKTHI HOSPITAL,Home Nursing,Neurology,"11, OLD BANK OF BARODA STREET, SECRETARIATE COLONY AMBATHUR, CHENNAI   600053"
Unavailable,73,308218,Ambattur,Private,BABURAJ CLINIC,Inpatient,Neurology,"4,III RD MAIN K.K.ROAD VENKATAPURAM CHENNAI
600053"
Scheduled,95,323151,Ambattur,Private,TEJA NURSING MOME,Laboratory,Psychiatry,MTH ROAD KRISHNAPURAM  CHENNAI   600053
Scheduled,97,422158,Ambattur,Private,VENKATAPURAM HEALTH POST II,OPD,Gynaecology,VENKATAPURAM AMBATHUR CHENNAI 600053
Unavailable,55,177553,Ambattur,Private,D.R.J. NURSING HOME,Emergency,Pediatrics,THATHANANG KUPPAM  CHENNAI   600080
Immediate,134,318698,Ambattur,Private,DR.S.J. HOSPITAL,Home Nursing,Pediatrics,30TH  STREET TNEB  CHENNAI   600080
Unavailable,177,395347,Ambattur,Private,DR. SENTHIL NURSING HOME,Laboratory,Neurology,"52, IIND STREET KORATTUR  CHENNAI   600080"
Unavailable,84,404129,Ambattur,Private,E.S.I. HOSPITAL,Home Nursing,Gastro-intestinal,AMBATTUR CHENNAI   600058
Immediate,70,209380,Ambattur,Private,DR.RAMANATHAN CLINIC,Laboratory,Gastro-intestinal,"123/81M.T.H. ROAD, VARADHARAJAPURAM CHENNAI
600058"
Immediate,84,321021,Ambattur,Private,NEW  CENTURY MEDICAL CENTRE,Home Nursing,Pediatrics,"21/37G.N.G. STREET VARADHARAJAPURAM
AMBATHUR, CHENNAI   600053"
Unavailable,164,158773,Ambattur,Private,C.K.M. HOSPITAL DR.KRISHNAMOORITI,OPD,Gastro-intestinal,"M.T.H. ROAD, VARADHARAJAPURAM CHENNAI
600058"
Immediate,76,195590,Ambattur,Private,VARADHARAJA PURAM HEALTH POST,Home Nursing,Cardiology,VARADHARAJAPURAM CHENNAI   600053
Unavailable,188,126425,Ambattur,Private,DR. KANAGARAJ CLINIC,Daycare,Pediatrics,"58 KUYAVAR STREET MANNURPET  CHENNAI
600050"
Scheduled,143,39890,Ambattur,Government,ROTARY MEDICAL CENTER,Emergency,ENT,"1st Main Road, Estate, Ambattur CHENNAI   600058"
Scheduled,194,112267,Ambattur,Private,DR.ALAMELUR MANGAI NURSING MOME,Laboratory,Gastro-intestinal,I.C.F.COLONY CHENNAI   600058
Scheduled,32,180783,Ambattur,Private,DR.RAMASAMY  CLINIC,Inpatient,Cardiology,"475, MTH ROAD, VARATHARAJAPURAM CHENNAI
600058"
Scheduled,172,294240,Ambattur,Private,NEW  CENTURY HOSPITAL,Emergency,ENT,I.C.F.COLONY CHENNAI   600058
Unavailable,141,316634,Ambattur,Private,Q.M. HOSPITAL  DR.NATARAJAN,Laboratory,Neurology,"157, YADAVAL STREET CHENNAI   600050"
Unavailable,44,432738,Ambattur,Private,SUGUNA NURSING HOME DR.ANNADURAI,Home Nursing,Orthopedics,"NO.55,MOORTHY NAGAR  CHENNAI   600050"
Scheduled,139,47892,Ambattur,Government,PADI HEALTH POST,Laboratory,Pediatrics,TMP NAGAR PADI CHENNAI 600050
Unavailable,72,244983,Ambattur,Private,SAKTHI NURSHING HOME,Daycare,Neurology,"6, T.V.S NAGAR, PADI CHENNAI   600050"
Immediate,61,308863,Ambattur,Private,S.K.S. NURSING HOME,Home Nursing,Cardiology,"TVS COLONY ANNA NAGAR WEST EXTN CHENNAI
600101"
Unavailable,72,480719,Ambattur,Private,VELAMMAL HOSPITALS,Home Nursing,Orthopedics,"191/3C,SCHOOL ROAD, T.S.K NAGAR, MUGAPPAIR
CHENNAI   600037"
Unavailable,158,260744,Ambattur,Private,RAJAM NURSING HOME  DR.RAJAM,Home Nursing,General,"NO.43,SATHYA NAGAR MAIN ROAD  CHENNAI
600050"
Unavailable,152,168796,Ambattur,Private,FRONTIER LIFELINE HOSPITAL,Inpatient,Gastro-intestinal,"R-30-C, AMBATTUR INDUSTRIAL ESTATE ROAD
MOGAPAIR CHENNAI 600101"
Unavailable,188,172844,Ambattur,Private,DIVYA HOSPITAL,Home Nursing,Gastro-intestinal,"81A, V V KOIL STREET,THIRUVALLEEWARAR NAGAR
CHENNAI   600101"
Scheduled,146,296804,Ambattur,Private,SPANDANA NURSING HOME,Laboratory,Psychiatry,VITH BLOCK MUGAAPAIR WEST CHENNAI   600037
Scheduled,72,340165,Ambattur,Private,LAKSHMI HEALTH CENTRE,OPD,Pediatrics,"MUGAPPAIR WEST MAIN ROAD (2ND BLOCK)
CHENNAI   600037"
Immediate,84,299896,Ambattur,Private,MANTHRA HOSPITAL,OPD,ENT,"1, VOC ST, MUGAAPAIR ROAD WEST CHENNAI
600037"
Immediate,73,93081,Ambattur,Private,NIVARAN MATERNITY CLINIC,Home Nursing,Gynaecology,"THIRUVALLUVAR SALAI MUGAAPAIR EAST CHENNAI
600037"
Scheduled,39,350570,Ambattur,Private,RAGHAVI HOSPITAL,OPD,General,XIITH  BLOCK  MUGAAPAIR EAST CHENNAI 600037
